"section_id","user_id","down_vote"
1889,39039,1
46268,70929,1
42572,70682,1
32430,39039,1
47064,69492,1
53137,70682,1
56857,70736,1
47559,39247,1
445,70647,1
47624,39230,1
47560,39247,1
10519,70754,1
2026,70644,1
31486,70031,1
465,70640,1
1801,39230,1
56969,70774,1
34111,39032,1
2015,39032,1
333,70774,1
1618,70086,1
33899,70774,1
1763,70031,1
33908,70924,1
558,70918,1
52667,39283,1
29534,70932,1
2106,70924,1
1804,70652,1
1631,70773,1
28806,70932,1
41525,70031,1
1606,39234,1
31487,70780,1
32446,70784,1
47075,70683,1
333,70697,1
554,70920,1
47071,39233,1
9670,70788,1
14971,70683,1
2071,70697,1
1617,70787,1
52968,70959,1
1767,70683,1
2709,71111,1
2076,71111,1
2106,70929,1
535,70761,1
9958,70784,1
1618,70762,1
542,70098,1
1803,70739,1
46262,70955,1
52616,70973,1
50975,70751,1
1538,70969,1
468,70930,1
56970,70267,1
41517,69492,1
60044,70930,1
1583,70930,1
1633,70921,1
435,38905,1
28801,39037,1
31618,38905,1
1755,70760,1
52886,66967,1
326,70918,1
1768,70760,1
1587,61180,1
1894,70734,1
41516,1081,1
18495,70760,1
2074,70636,1
11369,1081,1
50917,70759,1
1565,2688,1
53134,2688,1
2017,1592,1
1536,615,1
59939,509,1
33893,70784,1
550,70759,1
3614,2392,1
52969,1069,1
14970,422,1
554,615,1
1608,70784,1
31483,39285,1
15285,70732,1
56964,39247,1
1597,509,1
2088,1140,1
3596,1081,1
15306,2486,1
324,3149,1
47071,1656,1
1572,527,1
3597,2486,1
1600,2392,1
455,1069,1
50186,422,1
1632,527,1
46426,475,1
1628,3682,1
1803,3682,1
47066,649,1
41524,3207,1
1766,65986,1
40493,1296,1
52885,527,1
32431,417,1
14402,649,1
28641,2787,1
46510,70760,1
32448,444,1
463,1866,1
1742,1866,1
9955,4340,1
33881,478,1
50556,643,1
47075,1972,1
33906,464,1
33885,39284,1
47075,478,1
1779,3757,1
46338,39032,1
2112,70681,1
50655,70647,1
9669,39247,1
39392,70681,1
470,38903,1
67442,1777,1
317,70736,1
2088,70759,1
8397,70956,1
323,515,1
28800,3558,1
47561,1082,1
3362,2339,1
52784,4283,1
1881,412,1
482,425,1
32439,2339,1
2065,70647,1
1881,70782,1
60044,413,1
2078,3701,1
1597,3554,1
35839,70647,1
2023,70775,1
47066,70697,1
2113,70929,1
2039,70697,1
2015,413,1
1897,70782,1
32431,840,1
5802,1047,1
32438,4372,1
11368,3350,1
1588,1081,1
13169,4372,1
67427,515,1
46514,546,1
9665,70924,1
32429,1069,1
541,2794,1
59937,70754,1
59937,2045,1
41659,1069,1
10239,70757,1
3595,2611,1
32421,2611,1
479,1540,1
41529,2045,1
52783,3757,1
1545,515,1
2059,1972,1
2104,1777,1
1823,1540,1
56848,1972,1
52877,3764,1
14401,3764,1
1751,643,1
8397,1638,1
50654,2318,1
52559,444,1
1756,4372,1
300,3700,1
317,70932,1
16244,596,1
33900,444,1
1539,70932,1
52667,2054,1
60045,3700,1
1612,1140,1
9670,596,1
479,546,1
13140,2392,1
1541,2394,1
32429,1540,1
1790,406,1
14972,2794,1
2102,444,1
33884,1713,1
558,70757,1
50187,509,1
1747,529,1
66897,65986,1
51958,1713,1
31618,70774,1
52562,509,1
1592,70637,1
31487,1936,1
66898,554,1
60155,529,1
32435,3774,1
13753,70774,1
1821,70773,1
1795,410,1
9956,1936,1
1636,410,1
2027,1936,1
32421,2703,1
298,410,1
32447,615,1
30438,39235,1
46511,529,1
50187,70918,1
2040,70753,1
1634,410,1
2039,3331,1
1545,70637,1
554,3774,1
66898,529,1
1745,529,1
2587,3774,1
2089,70753,1
50654,5313,1
2074,2339,1
57191,5345,1
1600,419,1
2073,5313,1
1631,2654,1
1626,2849,1
1736,5348,1
1903,5395,1
2016,70968,1
38404,5055,1
1595,2849,1
60382,70736,1
3135,70736,1
14971,6380,1
52971,467,1
1797,5193,1
1536,6380,1
50183,2392,1
32442,467,1
18496,5819,1
13140,69587,1
56852,6475,1
1592,1089,1
1641,6509,1
1623,6428,1
1902,2392,1
10519,1089,1
1763,1829,1
46428,39037,1
57322,1140,1
57193,532,1
1873,5955,1
451,5851,1
11368,997,1
354,1972,1
11348,6433,1
1612,1829,1
1771,5446,1
3362,4972,1
7981,5552,1
68461,5151,1
2090,4972,1
1609,6380,1
2059,5205,1
554,414,1
535,6509,1
29831,6340,1
455,5609,1
74519,6509,1
1589,1714,1
2042,5193,1
50182,5748,1
11369,5151,1
1593,1049,1
304,70956,1
8898,466,1
2060,70777,1
67001,5151,1
50184,466,1
74414,2787,1
14971,70759,1
547,5703,1
2090,70097,1
31618,2707,1
77502,5796,1
16266,70636,1
16493,5796,1
52877,5869,1
1593,2611,1
67431,70968,1
297,997,1
3138,5818,1
78372,2849,1
57456,5552,1
1736,5818,1
554,5937,1
315,705,1
77272,5977,1
67429,5248,1
1794,5992,1
60047,5303,1
1762,6433,1
1632,6433,1
1878,6475,1
33903,596,1
33893,406,1
32773,406,1
554,5869,1
33883,70732,1
77196,70683,1
52877,5942,1
1644,2688,1
550,4372,1
324,5055,1
52884,70697,1
1881,6363,1
50975,1047,1
47073,5134,1
2034,5498,1
28946,3554,1
56964,6380,1
46791,5134,1
315,5345,1
545,5551,1
52877,538,1
1767,5943,1
549,5935,1
